from;to;group;label;color;weight
n001;n900;Crop choice;+;1;1
n001;n900;Crop choice;++;1;2
n002;n902;Crop choice;+;1;1
n002;n902;Crop choice;++;1;2
n002;n902;Crop choice;+;1;1
n002;n902;Crop choice;+;1;1
n003;n902;Crop choice;++;1;2
n003;n902;Crop choice;+;1;1
n003;n902;Crop choice;+;1;1
n902;n003;Crop choice;-;2;1
n004;n902;Crop choice;++;1;2
n005;n903;Crop choice;++;1;2
n006;n903;Crop choice;+;1;1
n007;n903;Crop choice;++;1;2
n008;n904;Crop choice;+;1;1
n009;n904;Crop choice;+;1;1
n010;n904;Crop choice;++;1;2
n011;n904;Crop choice;+;1;1
n012;n904;Crop choice;++;1;2
n012;n904;Crop choice;+;1;1
n901;n013;Crop choice;0;3;0
n014;n901;Crop choice;+;1;1
n901;n015;Crop choice;-;2;1
n016;n905;Crop choice;++;1;2
n017;n905;Crop choice;+;1;1
n018;n905;Crop choice;++;1;2
n019;n906;Crop choice;+;1;1
n020;n906;Crop choice;++;1;2
n020;n906;Crop choice;++;1;2
n020;n906;Crop choice;++;1;2
n021;n906;Crop choice;+;1;1
n906;n021;Crop choice;-;2;1
n021;n906;Crop choice;+;1;1
n022;n906;Crop choice;+;1;1
n022;n906;Crop choice;+;1;1
n023;n906;Crop choice;++;1;2
n024;n906;Crop choice;+;1;1
n024;n906;Crop choice;+;1;1
n025;n900;Forest;++;1;2
n026;n902;Forest;+;1;1
n902;n026;Forest;-;2;1
n027;n903;Forest;++;1;2
n028;n903;Forest;++;1;2
n029;n904;Forest;+;1;1
n030;n901;Forest;+;1;1
n031;n905;Forest;++;1;2
n032;n906;Forest;++;1;2
n033;n900;Infrastructure AE;++;1;2
n034;n902;Infrastructure AE;+;1;1
n902;n034;Infrastructure AE;-;2;1
n902;n034;Infrastructure AE;0;3;0
n902;n035;Infrastructure AE;?;3;0
n036;n902;Infrastructure AE;+;1;1
n902;n036;Infrastructure AE;0;3;0
n036;n902;Infrastructure AE;+;1;1
n902;n036;Infrastructure AE;-;2;1
n037;n903;Infrastructure AE;+;1;1
n037;n903;Infrastructure AE;+;1;1
n037;n904;Infrastructure AE;+;1;1
n038;n904;Infrastructure AE;+;1;1
n039;n904;Infrastructure AE;++;1;2
n901;n040;Infrastructure AE;0;3;0
n041;n906;Infrastructure AE;++;1;2
n041;n906;Infrastructure AE;++;1;2
n042;n906;Infrastructure AE;+;1;1
n042;n906;Infrastructure AE;+;1;1
n043;n906;Infrastructure AE;+;1;1
n043;n906;Infrastructure AE;+;1;1
n044;n906;Infrastructure AE;+;1;1
n044;n906;Infrastructure AE;++;1;2
n045;n906;Infrastructure AE;++;1;2
n906;n045;Infrastructure AE;+;1;0
n045;n906;Infrastructure AE;++;1;2
n046;n900;Intermediate crops;+;1;1
n902;n047;Intermediate crops;0;3;0
n904;n048;Intermediate crops;0;3;0
