from;to;type;group;label;color;weight
n001;n900;link;Crop choice;++;1;2
n002;n900;link;Crop choice;+;1;1
n004;n902;link;Crop choice;+;1;1
n005;n902;link;Crop choice;++;1;1
n006;n902;link;Crop choice;+;1;2
n007;n902;link;Crop choice;+;1;1
n008;n902;link;Crop choice;+;1;1
n010;n902;link;Crop choice;++;1;1
n011;n902;link;Crop choice;+;1;1
n012;n902;link;Crop choice;++;1;2
n013;n903;link;Crop choice;++;1;1
n014;n903;link;Crop choice;++;1;2
n015;n904;link;Crop choice;++;1;2
n016;n904;link;Crop choice;+;1;2
n017;n904;link;Crop choice;+;1;2
n018;n904;link;Crop choice;+;1;1
n019;n904;link;Crop choice;++;1;1
n020;n904;link;Crop choice;+;1;1
n022;n901;link;Crop choice;+;1;2
n023;n905;link;Crop choice;++;1;1
n024;n905;link;Crop choice;+;1;1
n026;n906;link;Crop choice;+;1;2
n027;n906;link;Crop choice;++;1;1
n028;n906;link;Crop choice;++;1;1
n029;n906;link;Crop choice;++;1;1
n030;n906;link;Crop choice;+;1;2
n031;n906;link;Crop choice;+;1;2
n032;n906;link;Crop choice;++;1;2
n034;n906;link;Crop choice;+;1;1
n035;n900;link;Crop choice;++;1;1
n036;n902;link;Crop choice;+;1;2
n038;n903;link;Crop choice;++;1;1
n039;n904;link;Crop choice;+;1;2
n040;n903;link;Crop choice;++;1;1
n041;n901;link;Forest;+;1;1
n042;n905;link;Forest;++;1;2
n043;n906;link;Forest;++;1;1
n044;n900;link;Forest;++;1;2
n045;n902;link;Forest;+;1;1
n047;n902;link;Forest;+;1;2
n049;n902;link;Forest;+;1;2
n053;n904;link;Forest;++;1;2
n054;n903;link;Forest;+;1;1
n055;n903;link;Infrastructure AE;+;1;1
n056;n903;link;Infrastructure AE;+;1;1
n057;n904;link;Infrastructure AE;+;1;0
n058;n904;link;Infrastructure AE;+;1;1
n060;n905;link;Infrastructure AE;++;1;1
n061;n906;link;Infrastructure AE;++;1;0
n062;n906;link;Infrastructure AE;++;1;0
n063;n906;link;Infrastructure AE;+;1;2
n064;n906;link;Infrastructure AE;+;1;1
n065;n906;link;Infrastructure AE;+;1;1
n066;n906;link;Infrastructure AE;+;1;1
n067;n906;link;Infrastructure AE;+;1;1
n068;n906;link;Infrastructure AE;++;1;1
n069;n906;link;Infrastructure AE;++;1;0
n070;n906;link;Infrastructure AE;+;1;2
n071;n906;link;Infrastructure AE;++;1;2
n072;n906;link;Infrastructure AE;+;1;2
n073;n906;link;Infrastructure AE;+;1;1
n074;n900;link;Infrastructure AE;+;1;1
n079;n905;link;Infrastructure AE;+;1;1
n083;n904;link;Infrastructure AE;+;1;1
n084;n904;link;Infrastructure AE;+;1;1
n085;n901;link;Infrastructure AE;+;1;2
n086;n905;link;Infrastructure AE;++;1;2
