id;node.name;node.group;short.definition;long.definition;node.type
n900;Biodiversity;Biodiversity;Biodiversity;Biodiversity;1
n901;Production;Production;Production;Production;1
n902;Crop protection;Crop protection;Crop protection;Crop protection;1
n903;GHG Emissions;GHG Emissions;Greenhouse Gas Emissions;Greenhouse Gas Emissions;1
n904;Pollution;Pollution;Pollution;Pollution;1
n905;Soil fertility;Soil fertility;Soil fertility;Soil fertility;1
n906;Targeted biodiversity;Targeted biodiversity;Targeted biodiversity;Targeted biodiversity;1
n001;Crop choice n001;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);2
n002;Crop choice n002;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);2
n167;Crop choice n167;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);2
n004;Crop choice n004;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;2
n005;Crop choice n005;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;2
n006;Crop choice n006;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;2
n007;Crop choice n007;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;2
n008;Crop choice n008;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;2
n009;Crop choice n009;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;2
n010;Crop choice n010;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;2
n011;Crop choice n011;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;2
n012;Crop choice n012;Crop choice;Increase the duration of crop rotations and temporal diversity;Crop choice: Increase the duration of crop rotations and temporal diversity;2
n013;Crop choice n013;Crop choice;Enhance intermediate crops sown between two cash crops in arable cropping systems;Crop choice: Enhance intermediate crops sown between two cash crops in arable cropping systems;2
n014;Crop choice n014;Crop choice;Grow / increase legumes in temporary grasslands;Crop choice: Grow / increase legumes in temporary grasslands;2
n015;Crop choice n015;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);2
