id;node.type;node.name;short.definition;long.definition;solution.description
n900;challenge;Biodiversity;Biodiversity;Biodiversity (incl arthropods, vegetation, etc);
n901;challenge;Production;Production;Production (yield);
n902;challenge;Crop protection;Crop protection;Crop protection;
n903;challenge;GHG Emissions;GHG Emissions;Greenhouse Gas Emissions;
n904;challenge;Pollution;Pollution;Soil, water pollution;
n905;challenge;Soil fertility;Soil fertility;Soil fertility;
n906;challenge;Targeted biodiversity;Targeted biodiversity;Targeted biodiversity (pollinators, farm birds);
n001;solution;Crop choice;Conventional farming practices (combo of practices);Crop choice: Conventional farming practices (combo of practices);Multi-solution conventional practices
n002;solution;Crop choice;Crop selection for decreased N demand;Crop choice: Crop selection for decreased N demand;Reduced fertiliser
n003;solution;Crop choice;Crop selection for lower pesticide demand;Crop choice: Crop selection for lower pesticide demand;Reduced pesticides
n004;solution;Crop choice;Crop selection for yield / production (or specific benefit);Crop choice: Crop selection for yield / production (or specific benefit);Optimize culture / varietal choice to optimize production
n005;solution;Crop choice;Crop selection to reduce irrigation dependency, heat sensitivity;Crop choice: Crop selection to reduce irrigation dependency, heat sensitivity;0
n006;solution;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;Decrease susceptible cultivar/variety in the year N
n006;solution;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;Reduce sensitive cultures year N
n006;solution;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;Reduce susceptible crop in year N
n006;solution;Crop choice;Decrease susceptible crop year N;Crop choice: Decrease susceptible crop year N;Reduction of sensitive crop in year N
n007;solution;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;Reduce sensitive cultures year N-1
n007;solution;Crop choice;Decrease susceptible crop year N-1;Crop choice: Decrease susceptible crop year N-1;Reduction of sensitive crop in year N-1
n008;solution;Crop choice;Grow / increase legumes in temporary grasslands;Crop choice: Grow / increase legumes in temporary grasslands;Reduced fertiliser
n009;solution;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);Increased landscape biodiversity, landscape scale
n009;solution;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);Increased landscape biodiversity, plot scale
n009;solution;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);Reduced pesticides
n009;solution;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);Increase diversification of cultures (landscape composition)
n009;solution;Crop choice;Increase diversification of cultures (landscape composition);Crop choice: Increase diversification of cultures (landscape composition);Increased landscape biodiversity
n010;solution;Crop choice;Increase life duration of temporary prairies;Crop choice: Increase life duration of temporary prairies;Increase of prairies
n011;solution;Crop choice;Increase the duration of crop rotations and temporal diversity;Crop choice: Increase the duration of crop rotations and temporal diversity;Extend duration of crop rotations
n011;solution;Crop choice;Increase the duration of crop rotations and temporal diversity;Crop choice: Increase the duration of crop rotations and temporal diversity;N-1 or even N-x Landscape history influences its diversity at time N
n011;solution;Crop choice;Increase the duration of crop rotations and temporal diversity;Crop choice: Increase the duration of crop rotations and temporal diversity;Temporal diversity (here applies to long term, so closer to land-use-change than crop rotation)
n012;solution;Crop choice;Increase the sown area of legumes in field crops;Crop choice: Increase the sown area of legumes in field crops;Reduced fertiliser
n013;solution;Crop choice;Increasing percentage of legumes in crop rotation;Crop choice: Increasing percentage of legumes in crop rotation;Increasing percentage of legumes in crop rotation
n014;solution;Crop choice;Landscape configuration to increase connectivity;Crop choice: Landscape configuration to increase connectivity;Increased landscape connectivity
n015;solution;Crop choice;Organic farming practices;Crop choice: Organic farming practices;Multi-solution organic practices
n016;solution;Crop choice;Organic matter, soil structure (cover crops);Crop choice: Organic matter, soil structure (cover crops);Organic matter, soil structure (cover crops)
n017;solution;Crop choice;Reduced sown area of potato, beet and rapeseed;Crop choice: Reduced sown area of potato, beet and rapeseed;Reduced pesticides
n018;solution;Crop choice;Return to fallow / meadow / shrublands;Crop choice: Return to fallow / meadow / shrublands;Presence of fallows / uncultivated land
n019;solution;Crop choice;Use intermediate crops in cropping system;Crop choice: Use intermediate crops in cropping system;Reduced fertiliser
n020;solution;Crop choice;Use mulch to increase soil richness;Crop choice: Use mulch to increase soil richness;Use mulch to increase soil richness
n021;solution;Forest;Forests located near ag plots;Forest: Forests located near ag plots;Forests located near ag plots
n021;solution;Forest;Forests located near ag plots;Forest: Forests located near ag plots;Biomass addition; soil moisture retention; 
