from;to;type;label;color;weight
n001;n906;1;+;1;1
n002;n904;1;+;1;1
n003;n904;1;+;1;1
n901;n004;1;0;3;0
n006;n902;1;+;1;1
n006;n902;1;++;1;2
n006;n902;1;+;1;1
n006;n902;1;+;1;1
n007;n902;1;+;1;1
n902;n007;1;-;2;1
n007;n902;1;++;1;2
n007;n902;1;+;1;1
n008;n903;1;++;1;2
n009;n900;1;++;1;2
n009;n900;1;+;1;1
n009;n904;1;++;1;2
n901;n009;1;-;2;1
n009;n906;1;++;1;2
n009;n906;1;++;1;2
n009;n906;1;++;1;2
n010;n902;1;++;1;2
n906;n010;1;-;2;1
n010;n906;1;++;1;2
n010;n906;1;+;1;1
n011;n904;1;+;1;1
n012;n905;1;++;1;2
n013;n906;1;+;1;1
n013;n906;1;+;1;1
n015;n905;1;+;1;1
n016;n904;1;++;1;2
n016;n904;1;+;1;1
n017;n903;1;++;1;2
