from;to;type;label;color;weight
n021;n906;1;++;1;2
n021;n906;1;++;1;2
n022;n903;1;+;1;1
n022;n904;1;+;1;1
n022;n906;1;+;1;1
n022;n906;1;+;1;1
n023;n906;1;+;1;1
n023;n906;1;+;1;1
n900;n024;1;++;1;0
n025;n904;1;++;1;2
n026;n902;1;+;1;1
n902;n026;1;-;2;1
n902;n026;1;0;3;0
n026;n903;1;+;1;1
n901;n026;1;0;3;0
n027;n902;1;+;1;1
n902;n027;1;0;3;0
n027;n902;1;+;1;1
n902;n027;1;-;2;1
n028;n906;1;+;1;1
n028;n906;1;++;1;2
n029;n903;1;+;1;1
n030;n906;1;++;1;2
n030;n906;1;+;1;1
n030;n906;1;++;1;2
n031;n906;1;+;1;1
n031;n906;1;+;1;1
n032;n905;1;++;1;2
n902;n033;2;?;3;0
n033;n904;1;+;1;1
