from;to;group;challenge;label;color;weight
n200;n904;Crop choice;Pollution;+;1;1
n200;n904;Crop choice;Pollution;+;1;1
n200;n901;Crop choice;Production;0;3;0
n200;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n902;Crop choice;Crop protection;+;1;1
n200;n902;Crop choice;Crop protection;++;1;2
n200;n902;Crop choice;Crop protection;+;1;1
n200;n902;Crop choice;Crop protection;+;1;1
n200;n902;Crop choice;Crop protection;++;1;2
n200;n902;Crop choice;Crop protection;+;1;1
n200;n902;Crop choice;Crop protection;+;1;1
n200;n902;Crop choice;Crop protection;-;2;1
n200;n903;Crop choice;GHG Emissions;++;1;2
n200;n900;Crop choice;Biodiversity;+;1;1
n200;n900;Crop choice;Biodiversity;++;1;2
n200;n904;Crop choice;Pollution;++;1;2
n200;n901;Crop choice;Production;-;2;1
n200;n906;Crop choice;Targeted biodiversity;++;1;2
n200;n906;Crop choice;Targeted biodiversity;++;1;2
n200;n906;Crop choice;Targeted biodiversity;++;1;2
n200;n903;Crop choice;GHG Emissions;+;1;1
n200;n902;Crop choice;Crop protection;++;1;2
n200;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n906;Crop choice;Targeted biodiversity;-;2;1
n200;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n904;Crop choice;Pollution;+;1;1
n200;n905;Crop choice;Soil fertility;++;1;2
n207;n906;Crop choice;Targeted biodiversity;+;1;1
n207;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n905;Crop choice;Soil fertility;+;1;1
n200;n904;Crop choice;Pollution;++;1;2
n200;n904;Crop choice;Pollution;+;1;1
n200;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n906;Crop choice;Targeted biodiversity;+;1;1
n200;n903;Crop choice;GHG Emissions;++;1;2
n200;n905;Crop choice;Soil fertility;++;1;2
n204;n900;Forest;Biodiversity;++;1;2
n204;n902;Forest;Crop protection;-;2;1
n204;n903;Forest;GHG Emissions;++;1;2
n204;n905;Forest;Soil fertility;++;1;2
n204;n903;Forest;GHG Emissions;++;1;2
n204;n901;Forest;Production;+;1;1
n204;n906;Forest;Targeted biodiversity;++;1;2
n204;n902;Forest;Crop protection;+;1;1
n204;n902;Forest;Crop protection;-;2;1
n204;n906;Forest;Targeted biodiversity;++;1;2
n202;n906;Infrastructure AE;Targeted biodiversity;++;1;2
n202;n902;Infrastructure AE;Crop protection;+;1;1
n202;n902;Infrastructure AE;Crop protection;-;2;1
n202;n902;Infrastructure AE;Crop protection;0;3;0
